split_id,model,category,precision,recall,f1_score,support
1,luhn,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,luhn,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,luhn,SALES,0.000000,0.000000,0.000000,0.000000
1,luhn,TEACHER,0.000000,0.000000,0.000000,0.000000
1,pegasus,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
1,pegasus,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,pegasus,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,pegasus,APPAREL,0.000000,0.000000,0.000000,3.000000
1,pegasus,ARTS,0.000000,0.000000,0.000000,3.000000
1,pegasus,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,pegasus,AVIATION,0.166667,0.333333,0.222222,3.000000
1,pegasus,BANKING,0.000000,0.000000,0.000000,2.000000
1,pegasus,BPO,0.000000,0.000000,0.000000,0.000000
1,pegasus,BUSINESS-DEVELOPMENT,0.500000,1.000000,0.666667,2.000000
1,pegasus,CHEF,0.000000,0.000000,0.000000,0.000000
1,pegasus,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,pegasus,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,pegasus,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,pegasus,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,pegasus,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,pegasus,FINANCE,0.000000,0.000000,0.000000,0.000000
1,pegasus,FITNESS,0.000000,0.000000,0.000000,0.000000
1,pegasus,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,pegasus,HR,0.000000,0.000000,0.000000,0.000000
1,pegasus,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,pegasus,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,pegasus,SALES,0.000000,0.000000,0.000000,0.000000
1,pegasus,TEACHER,0.000000,0.000000,0.000000,0.000000
1,random,ACCOUNTANT,0.500000,1.000000,0.666667,1.000000
1,random,ADVOCATE,0.500000,1.000000,0.666667,1.000000
1,random,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,random,APPAREL,0.666667,0.666667,0.666667,3.000000
1,random,ARTS,0.000000,0.000000,0.000000,3.000000
1,random,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,random,AVIATION,0.500000,0.666667,0.571429,3.000000
1,random,BANKING,0.000000,0.000000,0.000000,2.000000
1,random,BPO,0.000000,0.000000,0.000000,0.000000
1,random,BUSINESS-DEVELOPMENT,0.666667,1.000000,0.800000,2.000000
1,random,CHEF,0.000000,0.000000,0.000000,0.000000
1,random,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,random,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,random,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,random,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,random,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,random,FINANCE,0.000000,0.000000,0.000000,0.000000
1,random,FITNESS,0.000000,0.000000,0.000000,0.000000
1,random,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,random,HR,0.000000,0.000000,0.000000,0.000000
1,random,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,random,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,random,SALES,0.000000,0.000000,0.000000,0.000000
1,random,TEACHER,0.000000,0.000000,0.000000,0.000000
1,reduction,ACCOUNTANT,0.333333,1.000000,0.500000,1.000000
1,reduction,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,reduction,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,reduction,APPAREL,0.500000,1.000000,0.666667,3.000000
1,reduction,ARTS,1.000000,0.333333,0.500000,3.000000
1,reduction,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,reduction,AVIATION,0.500000,0.333333,0.400000,3.000000
1,reduction,BANKING,0.000000,0.000000,0.000000,2.000000
1,reduction,BPO,0.000000,0.000000,0.000000,0.000000
1,reduction,BUSINESS-DEVELOPMENT,0.000000,0.000000,0.000000,2.000000
1,reduction,CHEF,0.000000,0.000000,0.000000,0.000000
1,reduction,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,reduction,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,reduction,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,reduction,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,reduction,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,reduction,FINANCE,0.000000,0.000000,0.000000,0.000000
1,reduction,FITNESS,0.000000,0.000000,0.000000,0.000000
1,reduction,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,reduction,HR,0.000000,0.000000,0.000000,0.000000
1,reduction,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,reduction,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,reduction,SALES,0.000000,0.000000,0.000000,0.000000
1,reduction,TEACHER,0.000000,0.000000,0.000000,0.000000
1,t5,ACCOUNTANT,0.500000,1.000000,0.666667,1.000000
1,t5,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,t5,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,t5,APPAREL,0.200000,0.333333,0.250000,3.000000
1,t5,ARTS,0.000000,0.000000,0.000000,3.000000
1,t5,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,t5,AVIATION,0.500000,0.333333,0.400000,3.000000
1,t5,BANKING,1.000000,0.500000,0.666667,2.000000
1,t5,BPO,0.000000,0.000000,0.000000,0.000000
1,t5,BUSINESS-DEVELOPMENT,0.000000,0.000000,0.000000,2.000000
1,t5,CHEF,0.000000,0.000000,0.000000,0.000000
1,t5,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,t5,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,t5,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,t5,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,t5,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,t5,FINANCE,0.000000,0.000000,0.000000,0.000000
1,t5,FITNESS,0.000000,0.000000,0.000000,0.000000
1,t5,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,t5,HR,0.000000,0.000000,0.000000,0.000000
1,t5,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,t5,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,t5,SALES,0.000000,0.000000,0.000000,0.000000
1,t5,TEACHER,0.000000,0.000000,0.000000,0.000000
1,t5_large,ACCOUNTANT,0.000000,0.000000,0.000000,1.000000
1,t5_large,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,t5_large,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,t5_large,APPAREL,0.000000,0.000000,0.000000,3.000000
1,t5_large,ARTS,0.000000,0.000000,0.000000,3.000000
1,t5_large,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,t5_large,AVIATION,1.000000,0.333333,0.500000,3.000000
1,t5_large,BANKING,0.000000,0.000000,0.000000,2.000000
1,t5_large,BPO,0.000000,0.000000,0.000000,0.000000
1,t5_large,BUSINESS-DEVELOPMENT,0.200000,0.500000,0.285714,2.000000
1,t5_large,CHEF,0.000000,0.000000,0.000000,0.000000
1,t5_large,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,t5_large,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,t5_large,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,t5_large,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,t5_large,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,t5_large,FINANCE,0.000000,0.000000,0.000000,0.000000
1,t5_large,FITNESS,0.000000,0.000000,0.000000,0.000000
1,t5_large,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,t5_large,HR,0.000000,0.000000,0.000000,0.000000
1,t5_large,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,t5_large,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,t5_large,SALES,0.000000,0.000000,0.000000,0.000000
1,t5_large,TEACHER,0.000000,0.000000,0.000000,0.000000
1,t5_small,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
1,t5_small,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,t5_small,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,t5_small,APPAREL,0.375000,1.000000,0.545455,3.000000
1,t5_small,ARTS,0.000000,0.000000,0.000000,3.000000
1,t5_small,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,t5_small,AVIATION,0.333333,0.333333,0.333333,3.000000
1,t5_small,BANKING,0.000000,0.000000,0.000000,2.000000
1,t5_small,BPO,0.000000,0.000000,0.000000,0.000000
1,t5_small,BUSINESS-DEVELOPMENT,1.000000,0.500000,0.666667,2.000000
1,t5_small,CHEF,0.000000,0.000000,0.000000,0.000000
1,t5_small,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,t5_small,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,t5_small,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,t5_small,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,t5_small,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,t5_small,FINANCE,0.000000,0.000000,0.000000,0.000000
1,t5_small,FITNESS,0.000000,0.000000,0.000000,0.000000
1,t5_small,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,t5_small,HR,0.000000,0.000000,0.000000,0.000000
1,t5_small,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,t5_small,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,t5_small,SALES,0.000000,0.000000,0.000000,0.000000
1,t5_small,TEACHER,0.000000,0.000000,0.000000,0.000000
1,textrank,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
1,textrank,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,textrank,AGRICULTURE,1.000000,1.000000,1.000000,1.000000
1,textrank,APPAREL,0.750000,1.000000,0.857143,3.000000
1,textrank,ARTS,0.500000,0.333333,0.400000,3.000000
1,textrank,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,textrank,AVIATION,0.666667,0.666667,0.666667,3.000000
1,textrank,BANKING,0.500000,0.500000,0.500000,2.000000
1,textrank,BPO,0.000000,0.000000,0.000000,0.000000
1,textrank,BUSINESS-DEVELOPMENT,0.500000,0.500000,0.500000,2.000000
1,textrank,CHEF,0.000000,0.000000,0.000000,0.000000
1,textrank,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,textrank,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,textrank,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,textrank,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,textrank,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,textrank,FINANCE,0.000000,0.000000,0.000000,0.000000
1,textrank,FITNESS,0.000000,0.000000,0.000000,0.000000
1,textrank,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,textrank,HR,0.000000,0.000000,0.000000,0.000000
1,textrank,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,textrank,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,textrank,SALES,0.000000,0.000000,0.000000,0.000000
1,textrank,TEACHER,0.000000,0.000000,0.000000,0.000000
2,bart,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
2,bart,ADVOCATE,0.000000,0.000000,0.000000,1.000000
2,bart,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
2,bart,APPAREL,0.666667,0.666667,0.666667,3.000000
2,bart,ARTS,0.000000,0.000000,0.000000,3.000000
2,bart,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
2,bart,AVIATION,0.333333,0.333333,0.333333,3.000000
2,bart,BANKING,0.000000,0.000000,0.000000,2.000000
2,bart,BPO,0.000000,0.000000,0.000000,0.000000
2,bart,BUSINESS-DEVELOPMENT,0.666667,1.000000,0.800000,2.000000
2,bart,CHEF,0.000000,0.000000,0.000000,0.000000
2,bart,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
2,bart,CONSULTANT,0.000000,0.000000,0.000000,0.000000
2,bart,DESIGNER,0.000000,0.000000,0.000000,0.000000
2,bart,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
2,bart,ENGINEERING,0.000000,0.000000,0.000000,0.000000
2,bart,FINANCE,0.000000,0.000000,0.000000,0.000000
2,bart,FITNESS,0.000000,0.000000,0.000000,0.000000
2,bart,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
2,bart,HR,0.000000,0.000000,0.000000,0.000000
2,bart,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
2,bart,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
2,bart,SALES,0.000000,0.000000,0.000000,0.000000
2,bart,TEACHER,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,ACCOUNTANT,0.500000,1.000000,0.666667,1.000000
2,flan_t5_base,ADVOCATE,0.000000,0.000000,0.000000,1.000000
2,flan_t5_base,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
2,flan_t5_base,APPAREL,0.500000,0.333333,0.400000,3.000000
2,flan_t5_base,ARTS,0.000000,0.000000,0.000000,3.000000
2,flan_t5_base,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
2,flan_t5_base,AVIATION,0.200000,0.333333,0.250000,3.000000
2,flan_t5_base,BANKING,0.250000,0.500000,0.333333,2.000000
2,flan_t5_base,BPO,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,BUSINESS-DEVELOPMENT,0.000000,0.000000,0.000000,2.000000
2,flan_t5_base,CHEF,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,CONSULTANT,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,DESIGNER,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,ENGINEERING,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,FINANCE,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,FITNESS,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,HR,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,SALES,0.000000,0.000000,0.000000,0.000000
2,flan_t5_base,TEACHER,0.000000,0.000000,0.000000,0.000000
2,kl,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
2,kl,ADVOCATE,0.000000,0.000000,0.000000,1.000000
2,kl,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
2,kl,APPAREL,0.250000,0.333333,0.285714,3.000000
2,kl,ARTS,0.500000,0.333333,0.400000,3.000000
2,kl,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
2,kl,AVIATION,0.400000,0.666667,0.500000,3.000000
2,kl,BANKING,0.000000,0.000000,0.000000,2.000000
2,kl,BPO,0.000000,0.000000,0.000000,0.000000
2,kl,BUSINESS-DEVELOPMENT,0.000000,0.000000,0.000000,2.000000
2,kl,CHEF,0.000000,0.000000,0.000000,0.000000
2,kl,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
2,kl,CONSULTANT,0.000000,0.000000,0.000000,0.000000
2,kl,DESIGNER,0.000000,0.000000,0.000000,0.000000
2,kl,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
2,kl,ENGINEERING,0.000000,0.000000,0.000000,0.000000
2,kl,FINANCE,0.000000,0.000000,0.000000,0.000000
2,kl,FITNESS,0.000000,0.000000,0.000000,0.000000
2,kl,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
2,kl,HR,0.000000,0.000000,0.000000,0.000000
2,kl,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
2,kl,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
2,kl,SALES,0.000000,0.000000,0.000000,0.000000
2,kl,TEACHER,0.000000,0.000000,0.000000,0.000000
2,lexrank,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
2,lexrank,ADVOCATE,0.000000,0.000000,0.000000,1.000000
