model,category,precision,recall,f1_score,support
t5,AGRICULTURE,0.040000,0.040000,0.040000,1.000000
t5,APPAREL,0.228714,0.280000,0.236225,3.000000
t5,ARTS,0.252000,0.253333,0.238159,3.000000
t5,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
t5,AVIATION,0.286667,0.160000,0.192889,3.000000
t5,BANKING,0.150000,0.100000,0.113333,2.000000
t5,BPO,0.000000,0.000000,0.000000,0.000000
t5,BUSINESS-DEVELOPMENT,0.316667,0.400000,0.336000,2.000000
t5,CHEF,0.000000,0.000000,0.000000,0.000000
t5,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
t5,CONSULTANT,0.000000,0.000000,0.000000,0.000000
t5,DESIGNER,0.000000,0.000000,0.000000,0.000000
t5,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
t5,ENGINEERING,0.000000,0.000000,0.000000,0.000000
t5,FINANCE,0.000000,0.000000,0.000000,0.000000
t5,FITNESS,0.000000,0.000000,0.000000,0.000000
t5,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
t5,HR,0.000000,0.000000,0.000000,0.000000
t5,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
t5,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
t5,SALES,0.000000,0.000000,0.000000,0.000000
t5,TEACHER,0.000000,0.000000,0.000000,0.000000
t5_large,ACCOUNTANT,0.330000,0.520000,0.382667,1.000000
t5_large,ADVOCATE,0.000000,0.000000,0.000000,1.000000
t5_large,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
t5_large,APPAREL,0.198667,0.240000,0.212825,3.000000
t5_large,ARTS,0.008000,0.013333,0.010000,3.000000
t5_large,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
t5_large,AVIATION,0.199333,0.146667,0.156762,3.000000
t5_large,BANKING,0.000000,0.000000,0.000000,2.000000
t5_large,BPO,0.000000,0.000000,0.000000,0.000000
t5_large,BUSINESS-DEVELOPMENT,0.536000,0.840000,0.636190,2.000000
t5_large,CHEF,0.000000,0.000000,0.000000,0.000000
t5_large,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
t5_large,CONSULTANT,0.000000,0.000000,0.000000,0.000000
t5_large,DESIGNER,0.000000,0.000000,0.000000,0.000000
t5_large,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
t5_large,ENGINEERING,0.000000,0.000000,0.000000,0.000000
t5_large,FINANCE,0.000000,0.000000,0.000000,0.000000
t5_large,FITNESS,0.000000,0.000000,0.000000,0.000000
t5_large,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
t5_large,HR,0.000000,0.000000,0.000000,0.000000
t5_large,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
t5_large,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
t5_large,SALES,0.000000,0.000000,0.000000,0.000000
t5_large,TEACHER,0.000000,0.000000,0.000000,0.000000
t5_small,ACCOUNTANT,0.773333,0.960000,0.833333,1.000000
t5_small,ADVOCATE,0.000000,0.000000,0.000000,1.000000
t5_small,AGRICULTURE,0.080000,0.080000,0.080000,1.000000
t5_small,APPAREL,0.352429,0.533333,0.413501,3.000000
t5_small,ARTS,0.000000,0.000000,0.000000,3.000000
t5_small,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
t5_small,AVIATION,0.434667,0.453333,0.429238,3.000000
t5_small,BANKING,0.176667,0.180000,0.172000,2.000000
t5_small,BPO,0.000000,0.000000,0.000000,0.000000
t5_small,BUSINESS-DEVELOPMENT,0.662667,0.720000,0.661524,2.000000
t5_small,CHEF,0.000000,0.000000,0.000000,0.000000
t5_small,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
t5_small,CONSULTANT,0.000000,0.000000,0.000000,0.000000
t5_small,DESIGNER,0.000000,0.000000,0.000000,0.000000
t5_small,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
t5_small,ENGINEERING,0.000000,0.000000,0.000000,0.000000
t5_small,FINANCE,0.000000,0.000000,0.000000,0.000000
t5_small,FITNESS,0.000000,0.000000,0.000000,0.000000
t5_small,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
t5_small,HR,0.000000,0.000000,0.000000,0.000000
t5_small,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
t5_small,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
t5_small,SALES,0.000000,0.000000,0.000000,0.000000
t5_small,TEACHER,0.000000,0.000000,0.000000,0.000000
textrank,ACCOUNTANT,0.653333,0.800000,0.700000,1.000000
textrank,ADVOCATE,0.020000,0.040000,0.026667,1.000000
textrank,AGRICULTURE,0.280000,0.320000,0.293333,1.000000
textrank,APPAREL,0.323413,0.640000,0.422014,3.000000
textrank,ARTS,0.166667,0.146667,0.142413,3.000000
textrank,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
textrank,AVIATION,0.696667,0.506667,0.563810,3.000000
textrank,BANKING,0.353333,0.260000,0.289333,2.000000
textrank,BPO,0.000000,0.000000,0.000000,0.000000
textrank,BUSINESS-DEVELOPMENT,0.304667,0.380000,0.324762,2.000000
textrank,CHEF,0.000000,0.000000,0.000000,0.000000
textrank,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
textrank,CONSULTANT,0.000000,0.000000,0.000000,0.000000
textrank,DESIGNER,0.000000,0.000000,0.000000,0.000000
textrank,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
textrank,ENGINEERING,0.000000,0.000000,0.000000,0.000000
textrank,FINANCE,0.000000,0.000000,0.000000,0.000000
textrank,FITNESS,0.000000,0.000000,0.000000,0.000000
textrank,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
textrank,HR,0.000000,0.000000,0.000000,0.000000
textrank,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
textrank,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
textrank,SALES,0.000000,0.000000,0.000000,0.000000
textrank,TEACHER,0.000000,0.000000,0.000000,0.000000
